issue_label,year,region,primary_parties,allies,adversaries,trigger_event,escalation_level,probability_estimate,confidence,humanitarian_impact,economic_impact,cyber_domain,nuclear_risk,narrative,data_origin,notes
Russia-Ukraine Conflict,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,State Actors,Cyber attack,High,0.273,Low,Localized displacement,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,North Korea; South Korea,Regional Allies,State Actors,Proxy conflict,High,0.669,High,Regional displacement,Regional recession,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,India; Pakistan,Regional Allies,Non-State Actors,Cyber attack,Severe,0.028,Low,Localized displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Middle East,North Korea; South Korea,UN Mediation,Opposing Coalition,Airspace violation,High,0.096,High,Localized displacement,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Proxy conflict,Severe,0.373,Low,Humanitarian crisis,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,East Asia,India; Pakistan,Regional Allies,Non-State Actors,Cyber attack,High,0.026,High,Mass displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,NATO,State Actors,Sanctions escalation,Moderate,0.778,Medium,Regional displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,South Asia,China; Taiwan,Coalition B,Opposing Coalition,Cyber attack,Moderate,0.511,High,Mass displacement,Global market impact,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,NATO,State Actors,Maritime confrontation,Moderate,0.82,High,Mass displacement,Regional recession,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Middle East,North Korea; South Korea,UN Mediation,Hybrid Threats,Proxy conflict,Low,0.558,High,Regional displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Hybrid Threats,Airspace violation,High,0.474,Medium,Mass displacement,Energy price spike,Moderate,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,North Korea; South Korea,Coalition A,State Actors,Airspace violation,High,0.073,Low,Regional displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Middle East,Russia; Ukraine,Regional Allies,Opposing Coalition,Border incident,Low,0.616,Medium,Regional displacement,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,China; Taiwan,Coalition A,Hybrid Threats,Proxy conflict,Severe,0.246,Medium,Regional displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,India; Pakistan,Regional Allies,Non-State Actors,Cyber attack,Severe,0.333,High,Mass displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,North Korea; South Korea,Coalition B,State Actors,Airspace violation,Low,0.448,Medium,Mass displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Sanctions escalation,Moderate,0.292,High,Localized displacement,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Middle East,North Korea; South Korea,Coalition B,Non-State Actors,Maritime confrontation,Low,0.658,Low,Mass displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,Regional Allies,Non-State Actors,Maritime confrontation,High,0.411,Low,Mass displacement,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,South Asia,China; Taiwan,UN Mediation,Hybrid Threats,Maritime confrontation,Severe,0.552,Medium,Mass displacement,Global market impact,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Border incident,Moderate,0.643,High,Mass displacement,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Border incident,High,0.246,Medium,Regional displacement,Energy price spike,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Russia; Ukraine,Regional Allies,Hybrid Threats,Border incident,Moderate,0.408,High,Humanitarian crisis,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,China; Taiwan,UN Mediation,State Actors,Cyber attack,Low,0.213,Medium,Humanitarian crisis,Global market impact,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,State Actors,Proxy conflict,Moderate,0.703,Medium,Regional displacement,Regional recession,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Eastern Europe,Russia; Ukraine,Non-Aligned,Non-State Actors,Border incident,High,0.019,High,Humanitarian crisis,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,Venezuela; United States,NATO,State Actors,Cyber attack,Low,0.142,High,Humanitarian crisis,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,South Asia,North Korea; South Korea,Regional Allies,State Actors,Sanctions escalation,Severe,0.43,High,Humanitarian crisis,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,East Asia,India; Pakistan,NATO,State Actors,Maritime confrontation,High,0.413,High,Localized displacement,Energy price spike,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,South Asia,Venezuela; United States,NATO,State Actors,Border incident,Severe,0.405,Medium,Regional displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,Russia; Ukraine,Non-Aligned,Non-State Actors,Cyber attack,Moderate,0.735,High,Humanitarian crisis,Energy price spike,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Hybrid Threats,Maritime confrontation,Severe,0.293,Low,Mass displacement,Energy price spike,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Opposing Coalition,Cyber attack,Severe,0.422,Medium,Localized displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,China; Taiwan,Coalition A,Hybrid Threats,Maritime confrontation,Moderate,0.445,High,Localized displacement,Global market impact,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Latin America,India; Pakistan,NATO,Opposing Coalition,Cyber attack,High,0.531,Low,Localized displacement,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,Opposing Coalition,Cyber attack,Low,0.341,Low,Mass displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Non-Aligned,State Actors,Airspace violation,Severe,0.109,Low,Regional displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Russia; Ukraine,Non-Aligned,Hybrid Threats,Cyber attack,Severe,0.281,High,Humanitarian crisis,Energy price spike,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,East Asia,India; Pakistan,NATO,State Actors,Cyber attack,Severe,0.22,Medium,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,East Asia,North Korea; South Korea,Non-Aligned,Hybrid Threats,Airspace violation,High,0.111,High,Mass displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Eastern Europe,Venezuela; United States,UN Mediation,State Actors,Maritime confrontation,Low,0.06,Low,Humanitarian crisis,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,UN Mediation,Opposing Coalition,Maritime confrontation,Severe,0.822,Medium,Humanitarian crisis,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,South Asia,China; Taiwan,Coalition B,State Actors,Maritime confrontation,Severe,0.491,High,Mass displacement,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Non-Aligned,State Actors,Sanctions escalation,Moderate,0.582,High,Regional displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,Russia; Ukraine,Coalition B,Opposing Coalition,Border incident,Low,0.474,Medium,Regional displacement,Regional recession,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,East Asia,North Korea; South Korea,Non-Aligned,State Actors,Airspace violation,Moderate,0.238,Low,Mass displacement,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Latin America,India; Pakistan,Coalition A,Non-State Actors,Sanctions escalation,High,0.456,High,Regional displacement,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Middle East,North Korea; South Korea,Non-Aligned,Non-State Actors,Cyber attack,Low,0.719,Medium,Humanitarian crisis,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,South Asia,Russia; Ukraine,UN Mediation,Non-State Actors,Airspace violation,Low,0.298,Low,Mass displacement,Global market impact,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Non-State Actors,Sanctions escalation,High,0.62,High,Mass displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Hybrid Threats,Airspace violation,Severe,0.447,Low,Mass displacement,Energy price spike,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Hybrid Threats,Airspace violation,Moderate,0.039,Low,Mass displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,India; Pakistan,Regional Allies,Hybrid Threats,Proxy conflict,Low,0.158,Medium,Mass displacement,Global market impact,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,India; Pakistan,Non-Aligned,Hybrid Threats,Airspace violation,Severe,0.514,Medium,Localized displacement,Localized shock,Severe,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Airspace violation,Severe,0.019,Medium,Humanitarian crisis,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Hybrid Threats,Proxy conflict,Low,0.292,Medium,Humanitarian crisis,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,India; Pakistan,NATO,Opposing Coalition,Airspace violation,Low,0.099,Medium,Mass displacement,Localized shock,Moderate,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,Venezuela; United States,Coalition A,Non-State Actors,Proxy conflict,Low,0.688,Medium,Regional displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,Coalition A,Non-State Actors,Maritime confrontation,Low,0.541,Low,Humanitarian crisis,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Middle East,Venezuela; United States,NATO,Hybrid Threats,Proxy conflict,Low,0.385,Low,Humanitarian crisis,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,China; Taiwan,NATO,Opposing Coalition,Proxy conflict,Moderate,0.146,Low,Localized displacement,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Latin America,North Korea; South Korea,Coalition A,State Actors,Border incident,Moderate,0.39,Medium,Humanitarian crisis,Regional recession,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,North Korea; South Korea,Non-Aligned,State Actors,Proxy conflict,Severe,0.291,Medium,Regional displacement,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Coalition A,Non-State Actors,Airspace violation,High,0.786,Low,Mass displacement,Regional recession,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,UN Mediation,Opposing Coalition,Airspace violation,Severe,0.545,Low,Localized displacement,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Hybrid Threats,Border incident,High,0.326,Low,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,North Korea; South Korea,Regional Allies,Opposing Coalition,Proxy conflict,Moderate,0.414,High,Humanitarian crisis,Regional recession,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,NATO,Hybrid Threats,Proxy conflict,Severe,0.581,High,Regional displacement,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2025,South Asia,North Korea; South Korea,Non-Aligned,State Actors,Sanctions escalation,Severe,0.848,Medium,Localized displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Regional Allies,State Actors,Border incident,High,0.103,Low,Regional displacement,Regional recession,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,Regional Allies,Non-State Actors,Maritime confrontation,High,0.293,High,Regional displacement,Localized shock,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,China; Taiwan,UN Mediation,Opposing Coalition,Airspace violation,High,0.817,High,Localized displacement,Energy price spike,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Middle East,China; Taiwan,Coalition B,Hybrid Threats,Maritime confrontation,Severe,0.274,High,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,South Asia,China; Taiwan,UN Mediation,Hybrid Threats,Airspace violation,Moderate,0.675,Low,Regional displacement,Localized shock,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,Coalition A,Hybrid Threats,Cyber attack,High,0.794,High,Mass displacement,Energy price spike,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,Venezuela; United States,Coalition A,Hybrid Threats,Maritime confrontation,Moderate,0.78,Medium,Localized displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Non-State Actors,Airspace violation,High,0.819,Medium,Humanitarian crisis,Energy price spike,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,NATO,Non-State Actors,Proxy conflict,Low,0.11,Low,Localized displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2024,Latin America,China; Taiwan,Regional Allies,State Actors,Cyber attack,Low,0.541,High,Humanitarian crisis,Energy price spike,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,China; Taiwan,Coalition A,Hybrid Threats,Sanctions escalation,Low,0.47,Low,Mass displacement,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,Middle East,North Korea; South Korea,Non-Aligned,State Actors,Airspace violation,Severe,0.745,High,Humanitarian crisis,Energy price spike,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Non-State Actors,Cyber attack,High,0.443,Low,Regional displacement,Global market impact,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2024,South Asia,Russia; Ukraine,UN Mediation,Non-State Actors,Sanctions escalation,Low,0.643,Low,Localized displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Eastern Europe,Russia; Ukraine,Coalition B,Opposing Coalition,Proxy conflict,High,0.173,Medium,Humanitarian crisis,Localized shock,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Eastern Europe,China; Taiwan,Regional Allies,Hybrid Threats,Cyber attack,Severe,0.182,High,Regional displacement,Regional recession,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,Latin America,India; Pakistan,NATO,State Actors,Maritime confrontation,High,0.202,High,Humanitarian crisis,Global market impact,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Coalition B,Opposing Coalition,Airspace violation,Moderate,0.313,Low,Mass displacement,Regional recession,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,East Asia,China; Taiwan,Coalition A,Hybrid Threats,Airspace violation,High,0.298,Medium,Mass displacement,Localized shock,Moderate,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,Middle East,China; Taiwan,Regional Allies,Non-State Actors,Airspace violation,Low,0.119,High,Mass displacement,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Middle East,China; Taiwan,NATO,Opposing Coalition,Maritime confrontation,Moderate,0.82,Low,Mass displacement,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2025,South Asia,China; Taiwan,Non-Aligned,Opposing Coalition,Airspace violation,Moderate,0.522,Low,Localized displacement,Global market impact,Severe,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,Venezuela; United States,UN Mediation,Hybrid Threats,Proxy conflict,Severe,0.156,Medium,Localized displacement,Energy price spike,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,NATO,Hybrid Threats,Airspace violation,Severe,0.147,High,Mass displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2024,Latin America,China; Taiwan,Non-Aligned,Hybrid Threats,Airspace violation,Severe,0.739,Medium,Regional displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition A,Non-State Actors,Maritime confrontation,Moderate,0.132,High,Regional displacement,Localized shock,Low,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Non-State Actors,Proxy conflict,High,0.651,Low,Humanitarian crisis,Localized shock,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Opposing Coalition,Border incident,Low,0.552,Medium,Regional displacement,Global market impact,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Regional Allies,Opposing Coalition,Airspace violation,Low,0.549,High,Mass displacement,Global market impact,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,UN Mediation,Hybrid Threats,Border incident,High,0.767,Low,Humanitarian crisis,Localized shock,Moderate,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Taiwan Strait Stability,2025,East Asia,Venezuela; United States,Regional Allies,State Actors,Proxy conflict,Low,0.212,Low,Localized displacement,Global market impact,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2024,Latin America,Venezuela; United States,Coalition A,Non-State Actors,Border incident,Moderate,0.271,High,Humanitarian crisis,Global market impact,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,South Asia,India; Pakistan,Coalition A,Non-State Actors,Airspace violation,High,0.032,Medium,Mass displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Coalition A,Opposing Coalition,Airspace violation,Severe,0.127,Medium,Humanitarian crisis,Regional recession,High,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2026,Eastern Europe,India; Pakistan,Coalition B,Non-State Actors,Cyber attack,Severe,0.29,Medium,Mass displacement,Global market impact,Low,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2024,East Asia,Russia; Ukraine,Coalition A,Non-State Actors,Cyber attack,Moderate,0.498,High,Localized displacement,Energy price spike,High,Moderate,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,Middle East,Russia; Ukraine,Coalition B,State Actors,Proxy conflict,High,0.82,High,Mass displacement,Regional recession,Severe,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Russia-Ukraine Conflict,2024,East Asia,India; Pakistan,Non-Aligned,State Actors,Sanctions escalation,Moderate,0.327,Medium,Humanitarian crisis,Regional recession,Severe,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2025,South Asia,North Korea; South Korea,Coalition A,Hybrid Threats,Maritime confrontation,Severe,0.117,Medium,Localized displacement,Global market impact,Low,High,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Israel-Arab Tensions,2025,Eastern Europe,China; Taiwan,UN Mediation,State Actors,Cyber attack,Severe,0.453,Medium,Humanitarian crisis,Energy price spike,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
India-Pakistan Escalation 2025,2026,Eastern Europe,North Korea; South Korea,NATO,Non-State Actors,Border incident,Severe,0.11,High,Mass displacement,Localized shock,High,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Venezuela-US Tensions 2026,2026,South Asia,North Korea; South Korea,Non-Aligned,Opposing Coalition,Maritime confrontation,Low,0.583,Medium,Mass displacement,Localized shock,High,None,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
Korean Peninsula Risk,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Coalition B,Non-State Actors,Airspace violation,Moderate,0.585,Medium,Mass displacement,Localized shock,Low,Low,Expected scenario assessment based on current risk signals,Expected scenario,Scenario expectation; subject to change
