issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,probability_estimate,risk_index,risk_tier,archetype,anomaly_flag,predicted_tier
Venezuela-US Tensions 2026,2024,East Asia,Venezuela; United States,Severe,None,Low,Global market impact,0.793,46.4,🟡 Moderate,Nuclear Standoff,-1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,Severe,High,Moderate,Regional recession,0.371,76.5,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Korean Peninsula Risk,2025,South Asia,India; Pakistan,High,Low,High,Regional recession,0.757,59.8,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,Latin America,Venezuela; United States,Severe,None,Moderate,Regional recession,0.708,47.2,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2026,Middle East,North Korea; South Korea,Moderate,None,Moderate,Energy price spike,0.531,24.2,🟢 Low,Cyber-Dominant,1,🟢 Low
Israel-Arab Tensions,2026,Middle East,North Korea; South Korea,Moderate,Moderate,Low,Localized shock,0.53,38.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,Russia; Ukraine,Low,Low,Moderate,Global market impact,0.32,32.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,East Asia,China; Taiwan,High,None,Low,Global market impact,0.038,27.3,🟡 Moderate,Nuclear Standoff,-1,🟡 Moderate
Israel-Arab Tensions,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,None,High,Global market impact,0.542,30.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,Russia; Ukraine,Low,Moderate,Moderate,Localized shock,0.452,36.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Israel-Arab Tensions,2025,East Asia,Venezuela; United States,Low,High,Low,Energy price spike,0.227,42.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,East Asia,India; Pakistan,Moderate,Low,Moderate,Localized shock,0.083,24.5,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2024,Middle East,North Korea; South Korea,High,High,High,Energy price spike,0.042,68.4,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2025,East Asia,Venezuela; United States,Severe,High,Severe,Localized shock,0.595,86.3,🔴 Critical,Proxy War,-1,🔴 Critical
Korean Peninsula Risk,2026,Latin America,Russia; Ukraine,Low,Low,High,Regional recession,0.85,43.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,Latin America,India; Pakistan,High,High,High,Regional recession,0.054,70.9,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,None,Low,Regional recession,0.277,28.0,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,None,High,Regional recession,0.78,48.5,🟡 Moderate,Proxy War,1,🟡 Moderate
Israel-Arab Tensions,2024,East Asia,Venezuela; United States,Severe,Low,Moderate,Localized shock,0.421,48.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2024,Latin America,China; Taiwan,High,Low,Low,Localized shock,0.574,39.0,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Global market impact,0.529,59.3,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,Eastern Europe,China; Taiwan,Severe,High,Low,Energy price spike,0.233,65.9,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2025,South Asia,North Korea; South Korea,Moderate,Moderate,Low,Energy price spike,0.609,43.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,South Asia,North Korea; South Korea,Moderate,None,High,Localized shock,0.317,22.8,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2026,Middle East,China; Taiwan,High,High,Severe,Global market impact,0.757,92.6,🔴 Critical,Proxy War,-1,🔴 Critical
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Global market impact,0.196,41.8,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,None,Low,Energy price spike,0.473,17.3,🟢 Low,Cyber-Dominant,1,🟢 Low
Israel-Arab Tensions,2025,Eastern Europe,Venezuela; United States,Moderate,Moderate,Moderate,Energy price spike,0.393,45.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,High,High,Moderate,Energy price spike,0.504,70.6,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2025,Latin America,India; Pakistan,High,Moderate,Low,Global market impact,0.602,60.6,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2025,Eastern Europe,Russia; Ukraine,Moderate,Moderate,Moderate,Localized shock,0.743,47.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,High,Energy price spike,0.281,60.8,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2025,South Asia,China; Taiwan,High,High,Severe,Localized shock,0.662,81.6,🔴 Critical,Proxy War,1,🔴 Critical
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,High,Regional recession,0.466,48.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Venezuela; United States,Moderate,High,Low,Energy price spike,0.572,54.2,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Moderate,Regional recession,0.616,33.9,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2026,Latin America,Venezuela; United States,Severe,Moderate,Severe,Energy price spike,0.578,77.8,🔴 Critical,Proxy War,1,🔴 Critical
Russia-Ukraine Conflict,2024,Eastern Europe,India; Pakistan,High,High,High,Regional recession,0.306,75.3,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2025,South Asia,Venezuela; United States,High,None,Low,Localized shock,0.418,24.6,🟢 Low,Nuclear Standoff,1,🟢 Low
Israel-Arab Tensions,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,None,High,Energy price spike,0.199,36.0,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Severe,Regional recession,0.275,68.9,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2024,Eastern Europe,China; Taiwan,Severe,None,Moderate,Global market impact,0.271,43.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,Middle East,Venezuela; United States,Moderate,Low,Low,Localized shock,0.104,19.1,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2025,Eastern Europe,Venezuela; United States,Moderate,Moderate,Low,Localized shock,0.445,36.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,India; Pakistan,Severe,Moderate,Low,Localized shock,0.247,50.9,🟠 High,Nuclear Standoff,1,🟠 High
Taiwan Strait Stability,2026,East Asia,China; Taiwan,Moderate,Moderate,Severe,Regional recession,0.323,58.1,🟠 High,Direct Confrontation,1,🟠 High
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,High,High,Global market impact,0.498,64.6,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,High,Global market impact,0.747,45.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,North Korea; South Korea,Moderate,None,Moderate,Localized shock,0.705,23.8,🟢 Low,Cyber-Dominant,1,🟢 Low
Taiwan Strait Stability,2025,South Asia,Russia; Ukraine,Severe,Moderate,Severe,Global market impact,0.143,76.0,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2024,Eastern Europe,Venezuela; United States,Severe,High,High,Energy price spike,0.238,77.7,🔴 Critical,Proxy War,1,🔴 Critical
Venezuela-US Tensions 2026,2026,South Asia,North Korea; South Korea,Severe,None,High,Regional recession,0.285,45.7,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2024,Eastern Europe,Venezuela; United States,High,Moderate,Low,Localized shock,0.377,47.3,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,South Asia,Venezuela; United States,Moderate,High,Moderate,Regional recession,0.758,65.7,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,High,None,Low,Regional recession,0.763,36.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2026,Middle East,Russia; Ukraine,Moderate,High,Severe,Localized shock,0.537,67.7,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Middle East,China; Taiwan,Low,Low,Severe,Regional recession,0.335,40.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,South Asia,India; Pakistan,Low,Moderate,Moderate,Energy price spike,0.742,45.5,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,Latin America,China; Taiwan,Low,None,High,Regional recession,0.236,21.4,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2024,South Asia,India; Pakistan,Moderate,Moderate,Moderate,Global market impact,0.462,52.3,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,Low,Low,Moderate,Global market impact,0.319,32.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,High,Moderate,Regional recession,0.825,78.6,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Russia-Ukraine Conflict,2024,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Moderate,Localized shock,0.191,38.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2026,Eastern Europe,Venezuela; United States,Moderate,None,High,Regional recession,0.601,33.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,Low,None,Low,Regional recession,0.382,12.2,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2026,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,High,Regional recession,0.619,57.4,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,Eastern Europe,Russia; Ukraine,High,None,Severe,Global market impact,0.229,48.2,🟡 Moderate,Proxy War,1,🟡 Moderate
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Severe,Regional recession,0.121,54.5,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2026,Middle East,Russia; Ukraine,Low,Low,Moderate,Regional recession,0.332,28.9,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,High,Energy price spike,0.842,70.7,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,Middle East,Russia; Ukraine,Low,None,Low,Localized shock,0.265,4.3,🟢 Low,Direct Confrontation,-1,🟢 Low
India-Pakistan Escalation 2025,2025,East Asia,Russia; Ukraine,Moderate,None,Low,Global market impact,0.047,15.7,🟢 Low,Direct Confrontation,-1,🟢 Low
Korean Peninsula Risk,2024,South Asia,North Korea; South Korea,Severe,Moderate,Low,Energy price spike,0.635,61.2,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Low,Localized shock,0.442,48.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2025,East Asia,India; Pakistan,Severe,None,Moderate,Global market impact,0.755,51.6,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,East Asia,India; Pakistan,Low,Moderate,Low,Regional recession,0.465,37.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2025,Latin America,Russia; Ukraine,Moderate,Low,Severe,Energy price spike,0.104,40.1,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,Low,High,Moderate,Localized shock,0.284,45.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,India; Pakistan,High,None,Low,Regional recession,0.052,24.0,🟢 Low,Nuclear Standoff,1,🟢 Low
Korean Peninsula Risk,2026,East Asia,North Korea; South Korea,Severe,None,Moderate,Energy price spike,0.117,34.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,South Asia,China; Taiwan,Severe,Moderate,Low,Regional recession,0.533,61.8,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Moderate,Global market impact,0.634,55.3,🟠 High,Nuclear Standoff,1,🟠 High
Russia-Ukraine Conflict,2024,East Asia,India; Pakistan,Low,None,Severe,Global market impact,0.223,30.5,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,High,Low,Low,Localized shock,0.28,33.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,High,High,Low,Regional recession,0.206,61.9,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,Middle East,China; Taiwan,High,None,Moderate,Energy price spike,0.815,40.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,Moderate,None,Severe,Energy price spike,0.402,33.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,East Asia,North Korea; South Korea,High,High,Low,Global market impact,0.555,71.5,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,East Asia,China; Taiwan,Moderate,None,Severe,Regional recession,0.752,42.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Middle East,India; Pakistan,High,Low,Low,Energy price spike,0.068,33.7,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,East Asia,China; Taiwan,High,None,Moderate,Energy price spike,0.669,38.4,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,High,Localized shock,0.704,47.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Russia-Ukraine Conflict,2024,South Asia,Russia; Ukraine,Low,None,Severe,Regional recession,0.596,33.6,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,Low,Low,Moderate,Localized shock,0.165,20.1,🟢 Low,Direct Confrontation,1,🟢 Low
Russia-Ukraine Conflict,2025,South Asia,North Korea; South Korea,Moderate,Low,Low,Localized shock,0.657,28.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,Russia; Ukraine,High,Moderate,Severe,Global market impact,0.096,69.3,🟠 High,Proxy War,1,🟠 High
Korean Peninsula Risk,2026,Latin America,India; Pakistan,Severe,None,Low,Global market impact,0.38,39.1,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Taiwan Strait Stability,2026,South Asia,Russia; Ukraine,Low,Moderate,Severe,Global market impact,0.37,56.5,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2025,East Asia,India; Pakistan,High,High,High,Localized shock,0.064,65.2,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2025,Latin America,Russia; Ukraine,High,High,High,Energy price spike,0.191,71.0,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,East Asia,China; Taiwan,Severe,Low,Low,Global market impact,0.195,47.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,High,Low,Energy price spike,0.242,66.0,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2025,Middle East,China; Taiwan,Severe,High,Low,Regional recession,0.64,75.3,🔴 Critical,Nuclear Standoff,1,🔴 Critical
Taiwan Strait Stability,2026,South Asia,China; Taiwan,High,None,Low,Energy price spike,0.325,26.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2026,Middle East,China; Taiwan,Low,High,Severe,Localized shock,0.681,64.4,🟠 High,Cyber-Dominant,1,🟠 High
India-Pakistan Escalation 2025,2025,Latin America,Russia; Ukraine,Moderate,None,Moderate,Regional recession,0.157,20.0,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2025,Middle East,India; Pakistan,High,Moderate,Moderate,Global market impact,0.629,67.0,🟠 High,Nuclear Standoff,1,🟠 High
India-Pakistan Escalation 2025,2026,Middle East,India; Pakistan,Moderate,Moderate,High,Localized shock,0.605,51.3,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,None,High,Global market impact,0.836,53.0,🟠 High,Proxy War,1,🟠 High
Venezuela-US Tensions 2026,2026,Latin America,North Korea; South Korea,Moderate,None,Severe,Energy price spike,0.559,36.4,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,East Asia,Venezuela; United States,Moderate,Low,Severe,Localized shock,0.742,47.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,Severe,Moderate,High,Global market impact,0.528,76.9,🔴 Critical,Proxy War,1,🔴 Critical
Korean Peninsula Risk,2024,Eastern Europe,India; Pakistan,Low,Moderate,Severe,Global market impact,0.329,55.8,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Moderate,Global market impact,0.639,67.1,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Moderate,High,Severe,Localized shock,0.542,67.8,🟠 High,Cyber-Dominant,1,🟠 High
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Moderate,Low,Severe,Regional recession,0.384,47.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,High,Severe,Energy price spike,0.155,64.5,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2024,Latin America,Russia; Ukraine,Severe,None,Low,Regional recession,0.679,40.9,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Russia-Ukraine Conflict,2024,Latin America,China; Taiwan,Severe,Low,Moderate,Energy price spike,0.251,48.6,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Israel-Arab Tensions,2025,Eastern Europe,North Korea; South Korea,Moderate,Low,Low,Localized shock,0.129,19.5,🟢 Low,Direct Confrontation,1,🟢 Low
Korean Peninsula Risk,2024,East Asia,Russia; Ukraine,Low,Moderate,Low,Localized shock,0.79,37.0,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2024,Eastern Europe,India; Pakistan,Severe,Moderate,Moderate,Energy price spike,0.749,69.1,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Low,High,Severe,Energy price spike,0.417,63.2,🟠 High,Cyber-Dominant,1,🟠 High
Taiwan Strait Stability,2024,Middle East,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Low,Regional recession,0.209,26.8,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Venezuela-US Tensions 2026,2025,Latin America,China; Taiwan,High,None,High,Regional recession,0.362,41.2,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,Low,Moderate,High,Global market impact,0.69,56.3,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Moderate,Regional recession,0.084,30.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Severe,Energy price spike,0.061,51.1,🟠 High,Direct Confrontation,1,🟠 High
Korean Peninsula Risk,2024,South Asia,China; Taiwan,Severe,Low,High,Global market impact,0.047,56.7,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2024,East Asia,India; Pakistan,High,High,Severe,Energy price spike,0.449,81.4,🔴 Critical,Proxy War,1,🔴 Critical
Taiwan Strait Stability,2026,Latin America,North Korea; South Korea,Low,Low,Severe,Localized shock,0.383,35.7,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Taiwan Strait Stability,2025,East Asia,Venezuela; United States,High,Low,Severe,Localized shock,0.641,57.8,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,High,Global market impact,0.172,41.3,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2024,Middle East,North Korea; South Korea,Moderate,High,Low,Energy price spike,0.22,48.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2026,Middle East,North Korea; South Korea,Low,High,Moderate,Regional recession,0.737,59.5,🟠 High,Cyber-Dominant,1,🟠 High
Russia-Ukraine Conflict,2024,South Asia,China; Taiwan,Severe,High,Low,Global market impact,0.402,74.7,🟠 High,Nuclear Standoff,1,🟠 High
Venezuela-US Tensions 2026,2026,Latin America,Venezuela; United States,Low,High,Low,Energy price spike,0.022,38.7,🟡 Moderate,Direct Confrontation,-1,🟡 Moderate
Israel-Arab Tensions,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Low,Localized shock,0.658,40.5,🟡 Moderate,Nuclear Standoff,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,South Asia,Venezuela; United States,High,High,Low,Global market impact,0.679,73.7,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,Latin America,North Korea; South Korea,Moderate,Moderate,Moderate,Localized shock,0.025,35.2,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Israel-Arab Tensions,2024,Eastern Europe,India; Pakistan,Low,Low,Severe,Regional recession,0.515,43.8,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,East Asia,India; Pakistan,Severe,Moderate,High,Energy price spike,0.557,71.5,🟠 High,Proxy War,1,🟠 High
Israel-Arab Tensions,2025,South Asia,North Korea; South Korea,Moderate,Low,Low,Regional recession,0.527,32.3,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2026,Latin America,Russia; Ukraine,High,None,Severe,Localized shock,0.286,39.8,🟡 Moderate,Proxy War,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,South Asia,Venezuela; United States,Severe,High,Low,Global market impact,0.019,67.9,🟠 High,Nuclear Standoff,-1,🟠 High
Israel-Arab Tensions,2026,Eastern Europe,China; Taiwan,Severe,None,High,Regional recession,0.032,41.2,🟡 Moderate,Proxy War,1,🟡 Moderate
Korean Peninsula Risk,2025,Middle East,North Korea; South Korea,Moderate,Low,Low,Localized shock,0.373,23.8,🟢 Low,Direct Confrontation,1,🟢 Low
Taiwan Strait Stability,2026,South Asia,India; Pakistan,Low,None,High,Regional recession,0.262,21.8,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2024,Latin America,India; Pakistan,Low,None,High,Global market impact,0.298,26.0,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Low,High,Moderate,Energy price spike,0.298,49.4,🟡 Moderate,Direct Confrontation,1,🟡 Moderate
Korean Peninsula Risk,2026,Eastern Europe,Venezuela; United States,High,Moderate,Severe,Regional recession,0.734,77.0,🔴 Critical,Proxy War,1,🔴 Critical
India-Pakistan Escalation 2025,2024,Latin America,India; Pakistan,High,Low,High,Localized shock,0.575,50.8,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2025,East Asia,India; Pakistan,Low,Low,High,Regional recession,0.691,41.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Taiwan Strait Stability,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Moderate,Energy price spike,0.652,38.1,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
India-Pakistan Escalation 2025,2026,Latin America,China; Taiwan,Low,Moderate,Severe,Global market impact,0.132,52.4,🟠 High,Direct Confrontation,1,🟠 High
Russia-Ukraine Conflict,2024,Latin America,China; Taiwan,High,Moderate,Low,Regional recession,0.83,61.1,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2024,East Asia,North Korea; South Korea,Moderate,High,High,Global market impact,0.646,73.1,🟠 High,Cyber-Dominant,1,🟠 High
Korean Peninsula Risk,2024,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Moderate,Localized shock,0.717,35.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Venezuela-US Tensions 2026,2024,Eastern Europe,Venezuela; United States,High,High,Low,Global market impact,0.678,73.7,🟠 High,Nuclear Standoff,1,🟠 High
Israel-Arab Tensions,2026,East Asia,India; Pakistan,Low,High,Moderate,Global market impact,0.629,61.1,🟠 High,Cyber-Dominant,1,🟠 High
Venezuela-US Tensions 2026,2025,South Asia,China; Taiwan,High,Moderate,Severe,Localized shock,0.509,67.2,🟠 High,Proxy War,1,🟠 High
Taiwan Strait Stability,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Low,None,Moderate,Global market impact,0.162,17.7,🟢 Low,Direct Confrontation,1,🟢 Low
India-Pakistan Escalation 2025,2025,East Asia,China; Taiwan,High,None,Severe,Global market impact,0.594,54.6,🟠 High,Proxy War,1,🟠 High
Russia-Ukraine Conflict,2026,Middle East,North Korea; South Korea,Moderate,None,High,Energy price spike,0.512,29.7,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
Korean Peninsula Risk,2026,East Asia,India; Pakistan,Low,Moderate,Severe,Energy price spike,0.378,50.8,🟠 High,Direct Confrontation,1,🟠 High
Taiwan Strait Stability,2025,Eastern Europe,China; Taiwan,Low,Moderate,High,Energy price spike,0.56,48.2,🟡 Moderate,Cyber-Dominant,1,🟡 Moderate
