issue_label,year,region,primary_parties,escalation_level,nuclear_risk,cyber_domain,economic_impact,confidence,probability_estimate,escalation_score,nuclear_score,cyber_score,prob_score,economic_score,raw_risk_score,risk_index,risk_tier,anomaly_flag,anomaly_score,predicted_tier_num,predicted_tier,cluster,archetype
Korean Peninsula Risk,2025,Eastern Europe,China; Taiwan,Low,Moderate,Severe,Energy price spike,High,0.517,5,20,20,7.76,5,57.76,53.3,🟠 High,1,-0.518021994443007,2,🟠 High,2,Cyber-Dominant
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,Moderate,None,Severe,Global market impact,Medium,0.468,10,0,20,7.02,10,47.02,40.7,🟡 Moderate,1,-0.5439524953255346,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2024,South Asia,Venezuela; United States,Moderate,Low,High,Global market impact,Medium,0.702,10,10,15,10.53,10,55.53,50.7,🟠 High,1,-0.5174962256494474,2,🟠 High,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,East Asia,Russia; Ukraine,Severe,High,High,Global market impact,Low,0.41,25,30,15,6.15,10,86.15,86.5,🔴 Critical,1,-0.5732653596584701,3,🔴 Critical,0,Proxy War
Israel-Arab Tensions,2024,Eastern Europe,Venezuela; United States,Severe,High,Low,Global market impact,Low,0.541,25,30,5,8.12,10,78.12,77.1,🔴 Critical,1,-0.577503929711734,3,🔴 Critical,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,High,Low,Severe,Regional recession,Low,0.805,20,10,20,12.08,7,69.08,66.5,🟠 High,1,-0.544661386159717,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2024,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Severe,Localized shock,Low,0.315,20,10,20,4.72,2,56.72,52.1,🟠 High,1,-0.5385000114123971,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2025,Eastern Europe,Russia; Ukraine,Severe,High,High,Regional recession,High,0.687,25,30,15,10.31,7,87.31,87.9,🔴 Critical,1,-0.5634127740300263,3,🔴 Critical,0,Proxy War
Korean Peninsula Risk,2026,Middle East,Venezuela; United States,Severe,None,Severe,Localized shock,Low,0.785,25,0,20,11.78,2,58.78,54.5,🟠 High,-1,-0.5904039251290213,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2024,South Asia,China; Taiwan,Severe,Moderate,Moderate,Global market impact,Medium,0.83,25,20,10,12.45,10,77.45,76.3,🔴 Critical,1,-0.5703237485878032,3,🔴 Critical,3,Nuclear Standoff
Israel-Arab Tensions,2026,South Asia,Venezuela; United States,Severe,High,Moderate,Localized shock,Low,0.491,25,30,10,7.36,2,74.36,72.7,🟠 High,1,-0.5611539404362053,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2025,Eastern Europe,Russia; Ukraine,High,None,Low,Energy price spike,Medium,0.575,20,0,5,8.62,5,38.62,30.8,🟡 Moderate,1,-0.5442753587874838,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2026,Latin America,Venezuela; United States,Moderate,None,Low,Global market impact,Low,0.361,10,0,5,5.42,10,30.42,21.2,🟢 Low,1,-0.5674826767336834,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2025,South Asia,India; Pakistan,Moderate,High,Low,Localized shock,High,0.436,10,30,5,6.54,2,53.54,48.3,🟡 Moderate,1,-0.5547143055628049,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,South Asia,India; Pakistan,Moderate,Moderate,Moderate,Global market impact,High,0.691,10,20,10,10.36,10,60.36,56.3,🟠 High,1,-0.5207109823723085,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2024,Latin America,North Korea; South Korea,Moderate,None,Low,Regional recession,High,0.352,10,0,5,5.28,7,27.28,17.6,🟢 Low,1,-0.5458724254983037,0,🟢 Low,1,Direct Confrontation
Korean Peninsula Risk,2025,Middle East,Venezuela; United States,High,High,Severe,Energy price spike,Low,0.088,20,30,20,1.32,5,76.32,75.0,🔴 Critical,1,-0.5460382044979062,3,🔴 Critical,0,Proxy War
India-Pakistan Escalation 2025,2025,Middle East,China; Taiwan,High,Low,Moderate,Energy price spike,High,0.648,20,10,10,9.72,5,54.72,49.7,🟡 Moderate,1,-0.4916605081574553,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2025,South Asia,Venezuela; United States,High,High,Moderate,Regional recession,High,0.683,20,30,10,10.24,7,77.24,76.1,🔴 Critical,1,-0.5359793089604211,3,🔴 Critical,3,Nuclear Standoff
Israel-Arab Tensions,2024,Middle East,China; Taiwan,Severe,None,Severe,Localized shock,Low,0.215,25,0,20,3.22,2,50.22,44.4,🟡 Moderate,1,-0.5774349837372267,1,🟡 Moderate,0,Proxy War
India-Pakistan Escalation 2025,2025,East Asia,North Korea; South Korea,High,None,Severe,Global market impact,Medium,0.17,20,0,20,2.55,10,52.55,47.2,🟡 Moderate,1,-0.5519686244412286,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2024,Eastern Europe,Russia; Ukraine,High,None,Moderate,Regional recession,Low,0.278,20,0,10,4.17,7,41.17,33.8,🟡 Moderate,1,-0.5144910689038051,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,Severe,Low,Moderate,Localized shock,High,0.819,25,10,10,12.28,2,59.28,55.1,🟠 High,1,-0.5723899034590205,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2024,Eastern Europe,India; Pakistan,Moderate,Moderate,High,Global market impact,High,0.581,10,20,15,8.72,10,63.72,60.3,🟠 High,1,-0.5080092940964882,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2024,Latin America,North Korea; South Korea,Low,Moderate,Severe,Global market impact,Low,0.024,5,20,20,0.36,10,55.36,50.5,🟠 High,1,-0.5785825255941357,2,🟠 High,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,Middle East,China; Taiwan,Moderate,Low,High,Energy price spike,High,0.699,10,10,15,10.48,5,50.48,44.7,🟡 Moderate,1,-0.4910436429093157,1,🟡 Moderate,2,Cyber-Dominant
India-Pakistan Escalation 2025,2025,Eastern Europe,North Korea; South Korea,Severe,High,Low,Regional recession,Medium,0.141,25,30,5,2.11,7,69.11,66.6,🟠 High,1,-0.5500987237128034,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,South Asia,India; Pakistan,Severe,None,High,Energy price spike,Low,0.713,25,0,15,10.7,5,55.7,50.9,🟠 High,1,-0.5354628260224135,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2024,Eastern Europe,Venezuela; United States,High,High,Low,Energy price spike,High,0.033,20,30,5,0.5,5,60.5,56.5,🟠 High,1,-0.5611454327663153,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2025,Eastern Europe,North Korea; South Korea,Low,None,Moderate,Global market impact,Low,0.083,5,0,10,1.25,10,26.25,16.3,🟢 Low,-1,-0.5922170781415366,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2026,Middle East,Venezuela; United States,High,None,Low,Energy price spike,High,0.23,20,0,5,3.45,5,33.45,24.8,🟢 Low,1,-0.5430788372590939,0,🟢 Low,3,Nuclear Standoff
Israel-Arab Tensions,2024,East Asia,Russia; Ukraine,High,High,Moderate,Energy price spike,Medium,0.18,20,30,10,2.7,5,67.7,64.9,🟠 High,1,-0.5057242664569306,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,East Asia,North Korea; South Korea,Severe,Moderate,Low,Localized shock,Medium,0.089,25,20,5,1.34,2,53.34,48.1,🟡 Moderate,1,-0.5630275642360293,1,🟡 Moderate,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,South Asia,Venezuela; United States,High,Low,Moderate,Regional recession,Low,0.276,20,10,10,4.14,7,51.14,45.5,🟡 Moderate,1,-0.4816222416099928,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2025,East Asia,Russia; Ukraine,Moderate,High,Low,Localized shock,High,0.246,10,30,5,3.69,2,50.69,45.0,🟡 Moderate,1,-0.5595297832561659,1,🟡 Moderate,1,Direct Confrontation
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,Low,High,Low,Regional recession,Medium,0.681,5,30,5,10.22,7,57.22,52.6,🟠 High,1,-0.5402203836891148,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,East Asia,India; Pakistan,High,None,High,Regional recession,Low,0.219,20,0,15,3.28,7,45.28,38.6,🟡 Moderate,1,-0.507793559513747,1,🟡 Moderate,0,Proxy War
Taiwan Strait Stability,2024,South Asia,India; Pakistan,High,Low,Severe,Energy price spike,Medium,0.017,20,10,20,0.26,5,55.26,50.3,🟠 High,1,-0.5387162214963296,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2026,South Asia,Venezuela; United States,High,Moderate,High,Global market impact,Low,0.61,20,20,15,9.15,10,74.15,72.5,🟠 High,1,-0.5172949528688716,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Latin America,China; Taiwan,Moderate,Low,Moderate,Energy price spike,Medium,0.251,10,10,10,3.76,5,38.76,31.0,🟡 Moderate,1,-0.4942604783677295,1,🟡 Moderate,1,Direct Confrontation
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,Severe,Low,Moderate,Energy price spike,High,0.419,25,10,10,6.28,5,56.28,51.5,🟠 High,1,-0.49905647411423465,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,South Asia,Venezuela; United States,High,None,Low,Energy price spike,Low,0.687,20,0,5,10.31,5,40.31,32.8,🟡 Moderate,1,-0.5537727458342345,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2025,East Asia,China; Taiwan,Moderate,Moderate,High,Regional recession,High,0.255,10,20,15,3.82,7,55.82,51.0,🟠 High,1,-0.4758265692125607,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Severe,Energy price spike,Low,0.643,25,0,20,9.64,5,59.64,55.5,🟠 High,1,-0.5481988211906669,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,Venezuela; United States,Low,High,Severe,Energy price spike,High,0.748,5,30,20,11.22,5,71.22,69.0,🟠 High,1,-0.5665553234473412,2,🟠 High,2,Cyber-Dominant
Israel-Arab Tensions,2025,South Asia,Russia; Ukraine,Moderate,Moderate,Moderate,Regional recession,Medium,0.773,10,20,10,11.6,7,58.6,54.3,🟠 High,1,-0.5084479274733016,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2025,South Asia,India; Pakistan,Moderate,None,Moderate,Localized shock,Medium,0.522,10,0,10,7.83,2,29.83,20.5,🟢 Low,1,-0.5366828699758778,0,🟢 Low,2,Cyber-Dominant
India-Pakistan Escalation 2025,2026,Latin America,Russia; Ukraine,High,Moderate,Moderate,Regional recession,High,0.803,20,20,10,12.04,7,69.04,66.5,🟠 High,1,-0.5181165815116049,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,East Asia,Russia; Ukraine,High,Moderate,Moderate,Global market impact,Low,0.276,20,20,10,4.14,10,64.14,60.7,🟠 High,1,-0.5104656620597916,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Severe,Global market impact,High,0.085,20,20,20,1.28,10,71.28,69.1,🟠 High,1,-0.543657294276509,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2024,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,High,Energy price spike,Medium,0.505,25,0,15,7.58,5,52.58,47.2,🟡 Moderate,1,-0.5187051700524267,1,🟡 Moderate,0,Proxy War
Korean Peninsula Risk,2026,East Asia,North Korea; South Korea,Severe,Moderate,Low,Regional recession,Medium,0.262,25,20,5,3.93,7,60.93,57.0,🟠 High,1,-0.52732920579839,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2025,Eastern Europe,India; Pakistan,Severe,Low,High,Regional recession,Medium,0.143,25,10,15,2.14,7,59.14,54.9,🟠 High,1,-0.5070940836852957,2,🟠 High,0,Proxy War
Venezuela-US Tensions 2026,2025,Eastern Europe,Russia; Ukraine,Low,Low,Low,Energy price spike,Medium,0.606,5,10,5,9.09,5,34.09,25.5,🟡 Moderate,1,-0.5312676120107541,1,🟡 Moderate,2,Cyber-Dominant
Russia-Ukraine Conflict,2026,South Asia,China; Taiwan,High,Moderate,Severe,Energy price spike,High,0.608,20,20,20,9.12,5,74.12,72.4,🟠 High,1,-0.5183360632465163,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2026,Eastern Europe,North Korea; South Korea,High,Moderate,Moderate,Energy price spike,High,0.699,20,20,10,10.48,5,65.48,62.3,🟠 High,1,-0.49975713063054633,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,South Asia,China; Taiwan,High,Moderate,Severe,Regional recession,Medium,0.397,20,20,20,5.96,7,72.96,71.1,🟠 High,1,-0.5049035426197265,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2025,Eastern Europe,North Korea; South Korea,Severe,Moderate,Low,Regional recession,Medium,0.616,25,20,5,9.24,7,66.24,63.2,🟠 High,1,-0.5204403873635933,2,🟠 High,3,Nuclear Standoff
Venezuela-US Tensions 2026,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Low,Low,Energy price spike,High,0.013,10,10,5,0.19,5,30.19,21.0,🟢 Low,1,-0.5720853080082614,0,🟢 Low,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,Middle East,Venezuela; United States,Severe,Low,Low,Energy price spike,High,0.508,25,10,5,7.62,5,52.62,47.2,🟡 Moderate,1,-0.5135492251656002,1,🟡 Moderate,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,Middle East,Venezuela; United States,Moderate,None,Low,Global market impact,Low,0.119,10,0,5,1.78,10,26.78,17.0,🟢 Low,-1,-0.5902347074465796,0,🟢 Low,1,Direct Confrontation
Korean Peninsula Risk,2026,South Asia,Russia; Ukraine,Moderate,High,Low,Regional recession,Low,0.467,10,30,5,7.01,7,59.01,54.7,🟠 High,1,-0.5184386960835875,2,🟠 High,2,Cyber-Dominant
Russia-Ukraine Conflict,2025,Latin America,India; Pakistan,Low,None,Severe,Regional recession,Medium,0.095,5,0,20,1.42,7,33.42,24.7,🟢 Low,1,-0.5627951830123705,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,Latin America,North Korea; South Korea,Low,Low,Low,Regional recession,High,0.625,5,10,5,9.38,7,36.38,28.2,🟡 Moderate,1,-0.5276454226976769,1,🟡 Moderate,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Latin America,India; Pakistan,Low,High,Severe,Regional recession,High,0.212,5,30,20,3.18,7,65.18,62.0,🟠 High,1,-0.5348855182279055,2,🟠 High,1,Direct Confrontation
India-Pakistan Escalation 2025,2024,South Asia,Venezuela; United States,High,Moderate,Moderate,Global market impact,Low,0.533,20,20,10,8.0,10,68.0,65.3,🟠 High,1,-0.5057338673107339,2,🟠 High,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Low,Moderate,Localized shock,High,0.279,5,10,10,4.19,2,31.19,22.1,🟢 Low,1,-0.5362938640842858,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2024,South Asia,North Korea; South Korea,Moderate,High,Low,Global market impact,Medium,0.088,10,30,5,1.32,10,56.32,51.6,🟠 High,1,-0.5584413636993008,2,🟠 High,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,South Asia,Venezuela; United States,Low,None,Moderate,Global market impact,High,0.258,5,0,10,3.87,10,28.87,19.4,🟢 Low,1,-0.5560906836216297,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Middle East,India; Pakistan,Low,None,Severe,Energy price spike,Low,0.731,5,0,20,10.96,5,40.96,33.6,🟡 Moderate,1,-0.5566389880152767,1,🟡 Moderate,2,Cyber-Dominant
Venezuela-US Tensions 2026,2026,Middle East,North Korea; South Korea,High,None,Severe,Regional recession,High,0.239,20,0,20,3.58,7,50.58,44.9,🟡 Moderate,1,-0.5227189409280966,1,🟡 Moderate,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,Russia; Ukraine,Moderate,Moderate,Severe,Global market impact,Low,0.309,10,20,20,4.64,10,64.64,61.3,🟠 High,1,-0.5316351033428656,2,🟠 High,1,Direct Confrontation
Israel-Arab Tensions,2025,Middle East,North Korea; South Korea,Low,High,High,Localized shock,High,0.587,5,30,15,8.8,2,60.8,56.8,🟠 High,1,-0.547544326220133,2,🟠 High,2,Cyber-Dominant
Venezuela-US Tensions 2026,2024,Eastern Europe,India; Pakistan,High,High,High,Global market impact,Medium,0.749,20,30,15,11.24,10,86.24,86.6,🔴 Critical,-1,-0.5895323888377394,3,🔴 Critical,0,Proxy War
Taiwan Strait Stability,2025,East Asia,China; Taiwan,High,High,Severe,Localized shock,Medium,0.453,20,30,20,6.8,2,78.8,77.9,🔴 Critical,1,-0.5696247394331873,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2024,South Asia,India; Pakistan,Moderate,Moderate,Low,Global market impact,High,0.071,10,20,5,1.06,10,46.06,39.6,🟡 Moderate,1,-0.546646482576885,1,🟡 Moderate,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Middle East,Israel; Egypt; Jordan; Saudi Arabia,High,Low,Severe,Regional recession,High,0.763,20,10,20,11.44,7,68.44,65.8,🟠 High,1,-0.5333789948446048,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2025,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,High,Low,High,Global market impact,Medium,0.3,20,10,15,4.5,10,59.5,55.3,🟠 High,1,-0.5043218521189011,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,India; Pakistan,Low,Low,Moderate,Localized shock,Low,0.069,5,10,10,1.04,2,28.04,18.4,🟢 Low,1,-0.5659393078197857,0,🟢 Low,1,Direct Confrontation
Taiwan Strait Stability,2024,Middle East,China; Taiwan,Moderate,High,High,Global market impact,High,0.062,10,30,15,0.93,10,65.93,62.8,🟠 High,1,-0.5519720887934474,2,🟠 High,1,Direct Confrontation
India-Pakistan Escalation 2025,2026,East Asia,China; Taiwan,Moderate,Low,Low,Regional recession,Medium,0.48,10,10,5,7.2,7,39.2,31.5,🟡 Moderate,1,-0.5081145072643786,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2025,Eastern Europe,India; Pakistan,Low,None,Severe,Localized shock,Low,0.683,5,0,20,10.24,2,37.24,29.2,🟡 Moderate,1,-0.5822393907387675,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2025,Eastern Europe,Venezuela; United States,High,Low,Low,Energy price spike,Medium,0.018,20,10,5,0.27,5,40.27,32.8,🟡 Moderate,1,-0.5472592651960249,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,Middle East,Venezuela; United States,Severe,Low,High,Global market impact,Medium,0.537,25,10,15,8.06,10,68.06,65.3,🟠 High,1,-0.5367859057670412,2,🟠 High,0,Proxy War
Korean Peninsula Risk,2026,Eastern Europe,Russia; Ukraine,Severe,High,Severe,Regional recession,Low,0.313,25,30,20,4.7,7,86.7,87.2,🔴 Critical,1,-0.5597881766448712,3,🔴 Critical,0,Proxy War
Russia-Ukraine Conflict,2025,East Asia,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,High,Global market impact,Medium,0.49,25,0,15,7.35,10,57.35,52.8,🟠 High,1,-0.5455555215373338,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2024,Eastern Europe,North Korea; South Korea,High,None,Low,Global market impact,Low,0.785,20,0,5,11.78,10,46.78,40.4,🟡 Moderate,1,-0.5825672767946531,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,Middle East,India; Pakistan,High,None,High,Regional recession,Medium,0.807,20,0,15,12.1,7,54.1,49.0,🟡 Moderate,1,-0.5436145631782522,1,🟡 Moderate,0,Proxy War
Israel-Arab Tensions,2026,Eastern Europe,North Korea; South Korea,Severe,Moderate,Low,Localized shock,Low,0.112,25,20,5,1.68,2,53.68,48.5,🟡 Moderate,1,-0.5645205391293526,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2024,East Asia,Russia; Ukraine,Severe,Low,Low,Global market impact,Low,0.475,25,10,5,7.12,10,57.12,52.5,🟠 High,1,-0.5431602931699095,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,South Asia,Israel; Egypt; Jordan; Saudi Arabia,High,Moderate,Moderate,Localized shock,Low,0.641,20,20,10,9.62,2,61.62,57.8,🟠 High,1,-0.5193786135829996,2,🟠 High,3,Nuclear Standoff
India-Pakistan Escalation 2025,2025,East Asia,Venezuela; United States,Moderate,None,Low,Regional recession,Medium,0.428,10,0,5,6.42,7,28.42,18.9,🟢 Low,1,-0.5453080615644457,0,🟢 Low,1,Direct Confrontation
Venezuela-US Tensions 2026,2025,Latin America,North Korea; South Korea,Moderate,High,Moderate,Localized shock,High,0.62,10,30,10,9.3,2,61.3,57.4,🟠 High,1,-0.5261662012230789,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2025,Middle East,North Korea; South Korea,Low,High,Low,Energy price spike,Low,0.416,5,30,5,6.24,5,51.24,45.6,🟡 Moderate,1,-0.536391600586069,1,🟡 Moderate,2,Cyber-Dominant
Taiwan Strait Stability,2024,Eastern Europe,China; Taiwan,Moderate,None,Low,Energy price spike,Low,0.832,10,0,5,12.48,5,32.48,23.6,🟢 Low,1,-0.5771195001695957,0,🟢 Low,2,Cyber-Dominant
Korean Peninsula Risk,2025,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,High,Localized shock,High,0.097,10,20,15,1.46,2,48.46,42.4,🟡 Moderate,1,-0.5275396856619468,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2026,Latin America,Israel; Egypt; Jordan; Saudi Arabia,Moderate,Moderate,Moderate,Regional recession,High,0.744,10,20,10,11.16,7,58.16,53.7,🟠 High,1,-0.49989952957293177,2,🟠 High,2,Cyber-Dominant
Taiwan Strait Stability,2025,South Asia,Israel; Egypt; Jordan; Saudi Arabia,Low,Moderate,Severe,Energy price spike,High,0.318,5,20,20,4.77,5,54.77,49.8,🟡 Moderate,1,-0.516863536178203,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2025,Latin America,Venezuela; United States,High,None,Low,Localized shock,High,0.794,20,0,5,11.91,2,38.91,31.2,🟡 Moderate,-1,-0.5954950418522693,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2025,East Asia,Russia; Ukraine,Moderate,Moderate,Low,Global market impact,High,0.38,10,20,5,5.7,10,50.7,45.0,🟡 Moderate,1,-0.5287235914188888,1,🟡 Moderate,1,Direct Confrontation
Russia-Ukraine Conflict,2024,South Asia,India; Pakistan,Severe,None,Moderate,Global market impact,Medium,0.713,25,0,10,10.7,10,55.7,50.9,🟠 High,1,-0.5586452460453442,1,🟡 Moderate,3,Nuclear Standoff
Taiwan Strait Stability,2026,East Asia,India; Pakistan,Severe,Moderate,Severe,Regional recession,High,0.769,25,20,20,11.54,7,83.54,83.5,🔴 Critical,1,-0.5597866955127874,3,🔴 Critical,0,Proxy War
Israel-Arab Tensions,2025,East Asia,Venezuela; United States,Severe,Moderate,Severe,Localized shock,Low,0.274,25,20,20,4.11,2,71.11,68.9,🟠 High,1,-0.5501892826255456,2,🟠 High,0,Proxy War
Russia-Ukraine Conflict,2024,Middle East,Russia; Ukraine,High,Low,Moderate,Regional recession,High,0.244,20,10,10,3.66,7,50.66,44.9,🟡 Moderate,1,-0.48312712184545936,1,🟡 Moderate,3,Nuclear Standoff
Russia-Ukraine Conflict,2026,Middle East,North Korea; South Korea,Low,Low,Moderate,Energy price spike,Medium,0.567,5,10,10,8.5,5,38.5,30.7,🟡 Moderate,1,-0.4961415567992809,1,🟡 Moderate,2,Cyber-Dominant
Korean Peninsula Risk,2026,East Asia,North Korea; South Korea,High,Low,High,Regional recession,Low,0.576,20,10,15,8.64,7,60.64,56.6,🟠 High,1,-0.4918757939857328,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2025,Middle East,Venezuela; United States,High,High,Moderate,Regional recession,High,0.308,20,30,10,4.62,7,71.62,69.5,🟠 High,1,-0.5137047511071958,2,🟠 High,3,Nuclear Standoff
Korean Peninsula Risk,2026,Latin America,Venezuela; United States,Severe,None,High,Regional recession,Medium,0.743,25,0,15,11.14,7,58.14,53.7,🟠 High,1,-0.5413596203815798,2,🟠 High,0,Proxy War
Israel-Arab Tensions,2025,Latin America,India; Pakistan,Severe,High,Low,Regional recession,Low,0.453,25,30,5,6.8,7,73.8,72.1,🟠 High,1,-0.5488826816659568,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2026,East Asia,Russia; Ukraine,High,None,Moderate,Regional recession,High,0.551,20,0,10,8.26,7,45.26,38.6,🟡 Moderate,1,-0.5089824518315753,1,🟡 Moderate,3,Nuclear Standoff
Israel-Arab Tensions,2024,Middle East,North Korea; South Korea,Low,Low,Low,Global market impact,High,0.812,5,10,5,12.18,10,42.18,35.0,🟡 Moderate,1,-0.5781868986109904,1,🟡 Moderate,2,Cyber-Dominant
Israel-Arab Tensions,2026,South Asia,Venezuela; United States,High,Low,High,Regional recession,Medium,0.651,20,10,15,9.76,7,61.76,58.0,🟠 High,1,-0.500649547702803,2,🟠 High,0,Proxy War
India-Pakistan Escalation 2025,2024,Latin America,Venezuela; United States,High,None,Low,Localized shock,Low,0.407,20,0,5,6.1,2,33.1,24.4,🟢 Low,1,-0.5739831529399987,0,🟢 Low,3,Nuclear Standoff
Venezuela-US Tensions 2026,2024,Middle East,Venezuela; United States,Low,High,Low,Global market impact,Low,0.331,5,30,5,4.96,10,54.96,50.0,🟠 High,1,-0.5572093468110307,2,🟠 High,1,Direct Confrontation
Venezuela-US Tensions 2026,2024,Middle East,North Korea; South Korea,Moderate,None,Low,Localized shock,Low,0.774,10,0,5,11.61,2,28.61,19.1,🟢 Low,-1,-0.588380049543235,0,🟢 Low,2,Cyber-Dominant
Korean Peninsula Risk,2026,East Asia,Venezuela; United States,High,None,Low,Global market impact,Medium,0.631,20,0,5,9.46,10,44.46,37.7,🟡 Moderate,1,-0.569127488006423,1,🟡 Moderate,3,Nuclear Standoff
India-Pakistan Escalation 2025,2026,Middle East,North Korea; South Korea,Severe,Moderate,Low,Localized shock,Medium,0.55,25,20,5,8.25,2,60.25,56.2,🟠 High,1,-0.5564655554074502,2,🟠 High,3,Nuclear Standoff
Taiwan Strait Stability,2026,Eastern Europe,Israel; Egypt; Jordan; Saudi Arabia,Severe,None,Moderate,Regional recession,Low,0.092,25,0,10,1.38,7,43.38,36.4,🟡 Moderate,1,-0.5463772476388233,1,🟡 Moderate,3,Nuclear Standoff
Korean Peninsula Risk,2024,Middle East,India; Pakistan,Severe,Moderate,High,Regional recession,Medium,0.508,25,20,15,7.62,7,74.62,73.0,🟠 High,1,-0.5103548187052356,2,🟠 High,0,Proxy War
Taiwan Strait Stability,2025,Eastern Europe,Russia; Ukraine,Low,None,Severe,Regional recession,Low,0.093,5,0,20,1.4,7,33.4,24.7,🟢 Low,1,-0.5627951830123705,0,🟢 Low,1,Direct Confrontation
